Year,Mileage_km,Engine_CC,Horsepower,Num_Owners,Doors,Seats,Service_History,Accidents_Reported,Insurance_Valid,Brand,Fuel_Type,Transmission,Body_Type,Condition,Price_USD
2021,58891.0,1600,125,1,4,5,1,0,1,Volkswagen,Diesel,Manual,Sedan,Good,11220.3
2022,19846.0,1500,122,2,4,4,1,0,1,Mercedes,Petrol,Manual,SUV,Fair,7187.11
2021,54562.0,1800,132,2,4,5,1,1,1,Hyundai,Diesel,Automatic,Coupe,Fair,5455.3
2023,18141.0,1600,140,1,4,7,1,0,1,Toyota,Diesel,Automatic,SUV,Good,9609.19
2008,193764.0,1800,135,2,4,5,0,1,0,BMW,Petrol,Automatic,Coupe,Good,2389.53
2021,25714.0,1500,125,2,5,5,1,1,0,Honda,Diesel,Automatic,SUV,Like New,14983.76
2006,242579.0,1500,132,3,4,5,1,0,0,Honda,Petrol,Manual,Sedan,Good,2164.61
2014,111542.0,2500,217,1,5,5,0,0,1,Toyota,Petrol,Automatic,SUV,Fair,4354.8
2016,107221.0,2000,178,2,4,5,1,0,0,Hyundai,Diesel,Automatic,Truck,Like New,9282.38
2017,81805.0,2000,163,5,4,8,0,0,1,Ford,Petrol,Manual,Van,Poor,3830.06
2015,131638.0,1200,107,2,4,4,0,2,1,Honda,Diesel,Automatic,Coupe,Like New,7125.1
2012,150985.0,1500,117,2,4,5,1,0,1,Volkswagen,Petrol,Automatic,Coupe,New,5899.55
2009,189983.0,1800,120,1,4,4,1,1,1,Mercedes,Electric,Automatic,SUV,Good,8356.4
2006,226489.0,2500,216,1,4,7,1,2,1,Nissan,Electric,Automatic,Sedan,Good,2252.05
2016,112539.0,2500,212,4,2,5,1,0,0,Toyota,Petrol,Manual,Sedan,Good,7538.66
2006,228195.0,2500,223,1,4,6,0,1,1,Toyota,Petrol,Manual,Hatchback,Like New,4073.21
2010,179351.0,1000,82,5,4,5,0,1,0,Honda,Petrol,Automatic,SUV,Like New,2945.68
2023,16224.0,2500,184,1,2,7,0,0,1,Ford,Hybrid,Automatic,Hatchback,Good,11073.24
2016,84379.0,2500,206,1,4,2,1,0,1,Honda,Petrol,Manual,Sedan,Poor,3201.31
