OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,SalePrice,MSZoning,Utilities,BldgType,Heating,KitchenQual,SaleCondition,LandSlope
6,1457,3,628,1077,867,2,8,1952,1968,309505,RL,AllPub,1Fam,GasA,TA,Abnorml,Gtl
10,2155,2,376,1488,1406,2,12,1947,1955,409862,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
8,2132,3,638,1585,1118,1,11,1968,1984,367139,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
7,1794,3,619,1482,1006,2,10,2004,2027,352999,RL,AllPub,1Fam,GasA,Gd,Family,Gtl
5,1177,2,370,787,524,3,6,1989,2009,248829,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1689,2,456,931,1067,2,9,1961,1979,276440,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
3,1058,1,162,852,757,3,5,1991,2017,197613,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
9,1898,2,442,1203,1120,3,10,1965,1971,394869,RL,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
7,1584,2,363,1087,849,1,8,1963,1985,300879,RM,AllPub,1Fam,GasA,TA,Normal,Gtl
8,1475,3,584,1150,787,1,8,1969,1977,304051,RH,AllPub,TwnhsE,GasA,TA,Family,Gtl
2,878,1,191,659,497,3,4,1962,1968,148077,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
10,2199,1,216,1524,1289,3,12,1972,1984,399803,RL,AllPub,1Fam,GasA,Gd,Normal,Mod
9,1872,2,279,1224,1214,1,11,1932,1942,326239,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
5,1434,1,222,568,793,1,8,1940,1953,214847,RL,AllPub,1Fam,GasA,Gd,Abnorml,Gtl
5,1177,2,394,928,749,1,6,1988,2006,243804,RL,AllPub,1Fam,GasA,TA,Partial,Gtl
5,1321,2,414,886,762,3,7,1947,1957,253577,RL,AllPub,Duplex,GasA,TA,Normal,Gtl
6,1563,2,425,1321,863,1,9,1912,1924,239951,RH,AllPub,1Fam,GasA,TA,Abnorml,Gtl
7,1687,1,219,1240,979,2,9,1972,1985,315266,RL,AllPub,1Fam,GasA,Ex,Normal,Gtl
7,1328,3,499,848,830,2,8,1976,1988,331947,RL,AllPub,1Fam,GasA,Gd,Partial,Gtl
6,1412,2,346,1148,938,1,7,1930,1930,256057,RL,AllPub,TwnhsE,GasA,Gd,Normal,Gtl
7,1985,3,616,1562,1165,2,10,2004,2011,363276,RL,AllPub,2fmCon,GasA,Gd,Normal,Gtl
5,1251,2,409,842,630,1,6,1974,1985,255696,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1503,1,160,1231,1001,3,8,1967,1985,284132,RL,AllPub,1Fam,GasA,Gd,Normal,Gtl
6,1482,1,236,954,799,1,7,1997,2008,305763,RL,AllPub,1Fam,GasW,Ex,Normal,Gtl
7,1963,0,0,1398,1203,2,11,2001,2008,333733,RL,AllPub,1Fam,GasA,TA,Normal,Gtl
